OSEBuildingID,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),Outlier,TotalGHGEmissions,GHGEmissionsIntensity,%_GFAParking,%_GFABuilding,Nb_PropertyUseTypes,Building_age,%_LargestPropertyUseType
24958,NonResidential,Warehouse,98134.0,2,GREATER DUWAMISH,1.0,1,33462,Non-Refrigerated Warehouse,33462.0,one_use,0.0,one_use,0.0,1.0,41.40000153,41.40000153,130.1000061,130.1000061,1386445.375,0.0,406343.8125,1386445.0,0.0,0.0,not_outlier,9.67,0.29,0.0,1.0,1,52,1.0
25000,NonResidential,Warehouse,98104.0,2,DOWNTOWN,1.0,1,23903,Non-Refrigerated Warehouse,18350.0,Worship Facility,4500.0,one_use,0.0,65.0,18.20000076,21.29999924,34.29999924,38.29999924,415364.5938,0.0,48871.19922,166749.0,2486.159912,248616.0,not_outlier,14.37,0.6,0.0,1.0,2,86,0.7676860645107308
25069,Campus,K-12 School,98104.0,3,EAST,1.0,4,46100,K-12 School,46100.0,Parking,0.0,one_use,0.0,75.0,47.20000076,52.29999924,101.1999969,106.8000031,2177064.75,548294.6875,321668.5,1097533.0,5312.370117,531237.0,not_outlier,78.19,1.7,0.0,1.0,2,93,1.0
25115,NonResidential,Worship Facility,98133.0,5,NORTHWEST,1.0,2,21936,Worship Facility,21936.0,one_use,0.0,one_use,0.0,96.0,27.79999924,31.29999924,36.5,40.29999924,608755.375,0.0,22570.19922,77010.0,5317.459961,531746.0,not_outlier,28.78,1.31,0.0,1.0,1,65,1.0
25148,NonResidential,Small- and Mid-Sized Office,98118.0,2,SOUTHEAST,1.0,2,23250,Office,22014.0,one_use,0.0,one_use,0.0,55.0,41.09999847,40.40000153,129.0,126.6999969,904236.0,0.0,265016.4063,904236.0,0.0,0.0,not_outlier,6.3,0.27,0.0,1.0,1,49,0.9468387096774193
25163,NonResidential,Warehouse,98134.0,2,GREATER DUWAMISH,1.0,1,30000,Non-Refrigerated Warehouse,30000.0,Parking,0.0,one_use,0.0,32.0,93.19999695,108.1999969,139.6999969,155.5,2794837.0,0.0,176070.9063,600754.0,21940.83008,2194083.0,not_outlier,120.72,4.02,0.0,1.0,2,56,1.0
25222,NonResidential,Mixed Use Property,98101.0,7,DOWNTOWN,1.0,39,1074552,Multifamily Housing,311521.0,Hotel,303000.0,Parking,141450.0,65.0,43.0,43.79999924,115.4000015,115.4000015,26416770.0,0.0,6056265.5,20663978.0,57527.89453,5752789.0,not_outlier,449.59,0.42,0.10434488047111727,0.8956551195288828,3,7,0.28990779413188006
25268,NonResidential,Small- and Mid-Sized Office,98125.0,5,NORTH,1.0,4,23022,Office,23022.0,one_use,0.0,one_use,0.0,78.0,44.59999847,46.70000076,125.4000015,127.5999985,1027230.875,0.0,253588.5,865244.0,1619.869995,161987.0,not_outlier,14.64,0.64,0.0,1.0,1,36,1.0
25276,NonResidential,Warehouse,98134.0,2,GREATER DUWAMISH,1.0,1,31569,Non-Refrigerated Warehouse,33000.0,one_use,0.0,one_use,0.0,12.0,92.80000305,101.4000015,148.5,157.3999939,3064039.5,0.0,235929.7969,804992.0,22590.46875,2259047.0,not_outlier,125.59,3.98,0.0,1.0,1,54,1.0453292787227977
25277,NonResidential,Warehouse,98134.0,2,GREATER DUWAMISH,1.0,1,22509,Non-Refrigerated Warehouse,22509.0,one_use,0.0,one_use,0.0,57.0,7.900000095,7.900000095,24.79999924,24.79999924,177812.7969,0.0,52113.89844,177813.0,0.0,0.0,not_outlier,1.24,0.06,0.0,1.0,1,60,1.0
25278,NonResidential,Warehouse,98134.0,2,GREATER DUWAMISH,1.0,1,39984,Non-Refrigerated Warehouse,31184.0,Office,8800.0,one_use,0.0,75.0,26.79999924,29.10000038,51.0,53.40000153,1073156.375,0.0,128166.0,437302.0,6358.540039,635854.0,not_outlier,36.82,0.92,0.0,1.0,2,60,0.7799119647859144
25325,NonResidential,Worship Facility,98102.0,3,EAST,1.0,1,26440,Worship Facility,26440.0,one_use,0.0,one_use,0.0,91.0,27.20000076,31.29999924,46.20000076,51.29999924,719905.1875,0.0,65467.5,223375.0,4965.300293,496530.0,not_outlier,27.93,1.06,0.0,1.0,1,110,1.0
25371,NonResidential,K-12 School,98122.0,3,CENTRAL,4.0,2,28500,K-12 School,31100.0,one_use,0.0,one_use,0.0,92.0,37.40000153,41.79999924,87.5,94.69999695,1162561.125,0.0,210289.2969,717507.0,4450.540039,445054.0,not_outlier,28.64,1.0,0.0,1.0,1,7,1.0912280701754387
25462,NonResidential,Small- and Mid-Sized Office,98109.0,7,LAKE UNION,1.0,3,23355,Office,21915.0,one_use,0.0,one_use,0.0,77.0,38.40000153,38.40000153,120.4000015,120.4000015,840549.375,0.0,246350.9063,840549.0,0.0,0.0,not_outlier,5.86,0.25,0.0,1.0,1,67,0.9383429672447013
25464,NonResidential,Small- and Mid-Sized Office,98109.0,7,MAGNOLIA / QUEEN ANNE,1.0,4,30840,Office,29255.0,Restaurant,1180.0,one_use,0.0,30.0,116.4000015,126.1999969,251.6000061,261.8999939,3542708.5,0.0,552255.0,1884294.0,16584.14063,1658414.0,not_outlier,101.21,3.28,0.0,1.0,2,51,0.9486057068741893
25513,NonResidential,Worship Facility,98122.0,3,CENTRAL,1.0,1,21850,Worship Facility,21850.0,one_use,0.0,one_use,0.0,100.0,14.5,16.5,23.10000038,26.0,317794.4063,0.0,24049.30078,82056.0,2357.380127,235738.0,not_outlier,13.09,0.6,0.0,1.0,1,116,1.0
25540,NonResidential,Hotel,98104.0,7,DOWNTOWN,1.0,4,45500,Hotel,45500.0,one_use,0.0,one_use,0.0,77.0,61.5,64.5,116.9000015,121.3000031,2799595.0,941139.6875,313468.0,1069553.0,7889.02002,788902.0,not_outlier,122.0,2.68,0.0,1.0,1,102,1.0
25567,NonResidential,Warehouse,98103.0,4,LAKE UNION,1.0,1,23050,Non-Refrigerated Warehouse,23050.0,one_use,0.0,one_use,0.0,27.0,20.20000076,21.10000038,63.59999847,66.30000305,466672.6875,0.0,136773.9063,466673.0,0.0,0.0,not_outlier,3.25,0.14,0.0,1.0,1,78,1.0
25568,NonResidential,Small- and Mid-Sized Office,98103.0,4,LAKE UNION,1.0,4,48350,Small- and Mid-Sized Office,48350.0,one_use,0.0,one_use,0.0,45.0,72.19999695,74.69999695,226.6000061,234.6000061,3168131.0,0.0,928526.0,3168131.0,0.0,0.0,not_outlier,22.09,0.46,0.0,1.0,1,8,1.0
25572,NonResidential,Retail Store,98105.0,4,NORTHEAST,1.0,1,46059,Retail Store,46000.0,one_use,0.0,one_use,0.0,82.0,34.40000153,36.0,98.59999847,100.1999969,1582655.875,0.0,402718.0,1374074.0,2085.819824,208582.0,not_outlier,20.66,0.45,0.0,1.0,1,86,0.9987190342821164
25635,NonResidential,Medical Office,98115.0,4,NORTHEAST,1.0,2,23595,Medical Office,23595.0,one_use,0.0,one_use,0.0,72.0,34.59999847,34.90000153,107.1999969,107.5,817409.625,0.0,234290.9063,799401.0,180.0899963,18009.0,not_outlier,6.53,0.28,0.0,1.0,1,46,1.0
25657,NonResidential,Small- and Mid-Sized Office,98104.0,7,DOWNTOWN,1.0,3,28142,Office,28142.0,one_use,0.0,one_use,0.0,96.0,30.10000038,32.40000153,64.19999695,66.19999695,847097.8125,340615.5938,121366.1016,414101.0,923.8099976,92381.0,not_outlier,34.08,1.21,0.0,1.0,1,116,1.0
25659,NonResidential,Small- and Mid-Sized Office,98104.0,7,DOWNTOWN,1.0,4,39030,Office,32001.0,Retail Store,6685.0,one_use,0.0,99.0,18.39999962,20.0,47.70000076,49.29999924,713326.875,0.0,153675.7969,524342.0,1889.849976,188985.0,not_outlier,13.69,0.35,0.0,1.0,2,114,0.8199077632590315
25671,NonResidential,Retail Store,98122.0,3,EAST,1.0,2,36940,Retail Store,36940.0,one_use,0.0,one_use,0.0,100.0,9.100000381,9.100000381,28.60000038,28.60000038,336745.4063,0.0,98694.39844,336745.0,0.0,0.0,not_outlier,2.35,0.06,0.0,1.0,1,100,1.0
25673,NonResidential,Retail Store,98122.0,3,EAST,1.0,1,30240,Retail Store,32205.0,Restaurant,714.0,one_use,0.0,78.0,38.40000153,40.0,107.6999969,108.3000031,1264626.875,0.0,311067.3125,1061362.0,2032.649902,203265.0,not_outlier,18.19,0.6,0.0,1.0,2,96,1.0649801587301588
25713,NonResidential,Small- and Mid-Sized Office,98104.0,2,DOWNTOWN,1.0,3,35202,Office,24227.0,Bank Branch,9127.0,one_use,0.0,2.0,108.0999985,108.0999985,339.5,339.5,3605755.5,0.0,1056786.375,3605755.0,0.0,0.0,not_outlier,25.14,0.71,0.0,1.0,2,37,0.6882279415942276
25737,NonResidential,Senior Care Community,98101.0,7,EAST,1.0,6,95117,Senior Care Community,69035.0,Parking,26082.0,one_use,0.0,1.0,104.3000031,107.6999969,239.8999939,246.8000031,7202141.5,0.0,1262310.5,4307003.0,28951.37891,2895138.0,not_outlier,183.79,1.93,0.27420965757961246,0.7257903424203875,2,47,0.7257903424203875
25743,NonResidential,Worship Facility,98122.0,3,EAST,1.0,2,24600,Worship Facility,24600.0,one_use,0.0,one_use,0.0,69.0,13.5,14.10000038,36.09999847,38.0,331059.5,0.0,75706.79688,258312.0,727.4799805,72748.0,not_outlier,5.66,0.23,0.0,1.0,1,106,1.0
25847,NonResidential,Small- and Mid-Sized Office,98122.0,3,EAST,1.0,3,27544,Office,22365.0,Parking,3744.0,one_use,0.0,94.0,46.09999847,48.79999924,124.0999985,127.0,1031667.5,0.0,237431.0938,810115.0,2215.526123,221553.0,not_outlier,17.41,0.63,0.0,1.0,2,99,0.811973569561429
25914,NonResidential,Supermarket / Grocery Store,98112.0,3,EAST,1.0,1,44739,Supermarket/Grocery Store,44739.0,Parking,0.0,one_use,0.0,17.0,326.0,335.3999939,728.7000122,738.5999756,14585813.0,0.0,2423889.75,8270312.0,63155.0,6315500.0,not_outlier,393.07,8.79,0.0,1.0,2,18,1.0
25935,NonResidential,Worship Facility,98117.0,6,BALLARD,1.0,2,21562,Worship Facility,21052.0,Pre-school/Daycare,400.0,one_use,0.0,20.0,40.40000153,46.59999847,60.90000153,68.30000305,866806.0,0.0,55624.30078,189790.0,6770.159668,677016.0,not_outlier,37.28,1.73,0.0,1.0,2,60,0.9763472776180318
25965,NonResidential,Senior Care Community,98112.0,3,EAST,1.0,16,153312,Senior Care Community,148590.0,Parking,72317.0,Worship Facility,4722.0,51.0,93.0,99.59999847,159.6000061,167.0,20628680.0,0.0,1924631.5,6566843.0,140618.375,14061838.0,not_outlier,792.6,5.17,0.0,1.0,3,53,0.9692000626174077
25992,NonResidential,Mixed Use Property,98121.0,7,DOWNTOWN,1.0,19,1206670,Office,319361.0,Multifamily Housing,181047.0,Parking,177210.0,87.0,54.59999847,55.0,153.3999939,152.3999939,27684480.0,0.0,6841566.5,23343425.0,43410.53125,4341053.0,not_outlier,393.29,0.33,0.1672843445183853,0.8327156554816147,4,7,0.2646630810412126
26002,NonResidential,Worship Facility,98118.0,2,SOUTHEAST,1.0,1,24200,Worship Facility,24200.0,Parking,0.0,one_use,0.0,73.0,34.20000076,37.20000076,76.09999847,79.40000153,826488.6875,0.0,136674.9063,466335.0,3601.539795,360154.0,not_outlier,22.38,0.92,0.0,1.0,2,48,1.0
26098,NonResidential,K-12 School,98133.0,5,NORTHWEST,1.0,2,23222,K-12 School,15006.0,one_use,0.0,one_use,0.0,62.0,81.30000305,88.80000305,114.6999969,123.6999969,1219863.125,0.0,61771.10156,210763.0,10091.0,1009100.0,not_outlier,55.06,2.37,0.0,1.0,1,78,0.6461975712686245
26125,NonResidential,K-12 School,98122.0,3,EAST,1.0,3,60000,K-12 School,48783.0,one_use,0.0,one_use,0.0,52.0,74.30000305,80.5,143.8999939,150.3999939,3625407.5,0.0,450472.5,1537012.0,20883.94922,2088395.0,not_outlier,121.63,2.03,0.0,1.0,1,112,0.81305
26139,NonResidential,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,1.0,3,30408,Bank Branch,25000.0,Parking,5408.0,one_use,0.0,61.0,57.59999847,58.79999924,180.8999939,184.6000061,1440554.25,0.0,422202.3125,1440554.0,0.0,0.0,not_outlier,10.04,0.33,0.0,1.0,2,36,0.8221520652459879
26146,NonResidential,Small- and Mid-Sized Office,98109.0,7,MAGNOLIA / QUEEN ANNE,1.0,3,30109,Office,28400.0,Parking,7200.0,one_use,0.0,89.0,51.59999847,56.0,124.0999985,128.6999969,1465795.75,0.0,278322.0,949635.0,5161.609863,516161.0,not_outlier,34.03,1.13,0.0,1.0,2,96,0.9432395629213857
26154,NonResidential,Small- and Mid-Sized Office,98119.0,7,MAGNOLIA / QUEEN ANNE,1.0,2,25481,Office,25481.0,one_use,0.0,one_use,0.0,92.0,36.0,41.29999924,55.79999924,61.40000153,917100.3125,0.0,64270.60156,219291.0,6978.089844,697809.0,not_outlier,38.59,1.51,0.0,1.0,1,56,1.0
26157,NonResidential,Senior Care Community,98118.0,2,SOUTHEAST,1.0,1,141297,Senior Care Community,141297.0,one_use,0.0,one_use,0.0,76.0,137.5,144.1999969,244.8999939,253.1000061,19423344.0,0.0,1992345.25,6797882.0,126254.6016,12625460.0,not_outlier,717.93,5.08,0.0,1.0,1,49,1.0
26183,NonResidential,Small- and Mid-Sized Office,98109.0,7,LAKE UNION,1.0,2,27788,Office,32610.0,Other - Restaurant/Bar,4874.0,one_use,0.0,73.0,56.59999847,56.79999924,151.8999939,152.1999969,2119806.25,0.0,486507.6875,1659964.0,4598.419922,459842.0,not_outlier,35.99,1.3,0.0,1.0,2,104,1.173528141643875
26218,NonResidential,Hotel,98133.0,5,NORTHWEST,1.0,4,41704,Hotel,41704.0,one_use,0.0,one_use,0.0,73.0,46.59999847,47.29999924,97.5,99.80000305,1943899.25,0.0,284054.0,969192.0,9747.070313,974707.0,not_outlier,58.52,1.4,0.20583157490888165,0.7941684250911184,1,26,1.0
26235,NonResidential,Warehouse,98134.0,2,GREATER DUWAMISH,1.0,2,22324,Non-Refrigerated Warehouse,21000.0,one_use,0.0,one_use,0.0,53.0,28.0,34.40000153,48.70000076,56.5,588856.125,0.0,56828.30078,193898.0,3949.580322,394958.0,not_outlier,22.33,1.0,0.0,1.0,1,75,0.9406916323239563
26254,NonResidential,Small- and Mid-Sized Office,98122.0,3,EAST,1.0,3,27600,Office,13175.0,Retail Store,9175.0,one_use,0.0,84.0,48.0,49.40000153,140.3000031,141.8000031,1072151.375,0.0,281869.6875,961739.0,1104.119995,110412.0,not_outlier,12.57,0.46,0.0,1.0,2,94,0.4773550724637681
26289,NonResidential,Senior Care Community,98103.0,6,Northwest,1.0,2,55974,Senior Care Community,56000.0,one_use,0.0,one_use,0.0,98.0,109.5999985,114.5,214.1999969,222.1000061,6135173.0,0.0,778957.375,2657803.0,34773.69922,3477370.0,not_outlier,203.21,3.63,0.0,1.0,1,55,1.0004645013756386
26324,NonResidential,Senior Care Community,98125.0,5,NORTH,1.0,1,22583,Senior Care Community,22583.0,one_use,0.0,one_use,0.0,95.0,87.69999695,94.0,161.0,167.6000061,1981360.0,0.0,217967.7031,743706.0,12376.54004,1237654.0,not_outlier,70.92,3.14,0.0,1.0,1,62,1.0
26348,NonResidential,Small- and Mid-Sized Office,98103.0,4,LAKE UNION,1.0,3,26694,Office,24914.0,Parking,4720.0,one_use,0.0,92.0,28.89999962,29.5,90.80000305,92.69999695,720170.6875,0.0,211069.9063,720171.0,0.0,0.0,not_outlier,5.02,0.19,0.22604330561174796,0.773956694388252,2,35,0.9333183486925901
26359,NonResidential,Warehouse,98133.0,5,NORTHWEST,1.0,1,29400,Non-Refrigerated Warehouse,25000.0,one_use,0.0,one_use,0.0,69.0,9.100000381,9.100000381,28.60000038,28.60000038,227509.5,0.0,66679.20313,227509.0,0.0,0.0,not_outlier,1.59,0.05,0.0,1.0,1,44,0.8503401360544217
26379,NonResidential,Hotel,98108.0,2,GREATER DUWAMISH,1.0,3,22452,Hotel,22452.0,one_use,0.0,one_use,0.0,85.0,55.40000153,56.5,107.0,110.5999985,1244150.0,0.0,153688.4063,524385.0,7197.649902,719765.0,not_outlier,41.88,1.87,0.0,1.0,1,24,1.0
